IdEmpleado,CodigoEmpleado,Apellido,Nombre,IdSucursal,IdSector,IdCargo,Salario
13001968,1968,Burgos,Jeronimo,13,1,1,32000.00
13001674,1674,Villegas,Estefania,13,1,5,32000.00
13001516,1516,Fernandez,Guillermo,13,1,5,45000.00
13001330,1330,Ramirez,Eliana,13,1,5,32000.00
13001657,1657,Carmona,Jose,13,1,5,32000.00
13001573,1573,De Santis,Marcela,13,1,2,15000.00
13001658,1658,Franco,Daniela,13,1,5,32000.00
13001078,1078,Cortes,Rafael,13,4,1,42000.00
1001695,1695,Berrio,Camilo,1,4,5,32000.00
1001285,1285,Arias,Francisco,1,4,5,32000.00
1001284,1284,Merizalde,Antonio,1,4,5,32000.00
1001517,1517,Restrepo,Karen,1,4,2,15000.00
1001674,1674,Lemus,David,1,4,5,32000.00
1001056,1056,Santana,Javier,1,2,1,56000.00
1001977,1977,Saldarriaga,Virginia,1,2,5,42000.00
1001725,1725,Posada,Sergio,1,2,5,56000.00
1001675,1675,Zea,Jorge,1,2,5,65000.00
1001968,1968,Diaz,Mariana,1,2,5,32000.00
1001723,1723,Giraldo,Esteban,1,6,2,13500.00
14001076,1076,Idarraga,Jorge,14,6,2,12000.00
14001816,1816,Simanca,Alejandro,14,6,2,16000.00
14001154,1154,Pulgarin,Angelica,14,6,1,41000.00
14001294,1294,Aguirre,Brenda,14,6,5,32000.00
14001428,1428,Tamayo,Gloria,14,6,5,32000.00
14001814,1814,Carmona,Andrea,14,6,5,32000.00
14001978,1978,Diaz,Lucero,14,6,5,32000.00
14001531,1531,Alzate,Angela,14,6,4,28000.00
14001931,1931,Arango,Felipe,14,1,1,25600.00
14001932,1932,Garces,Elena,14,1,1,24000.00
14001291,1291,Uribe,Carmen,14,1,2,13500.00
14001530,1530,Ospina,Daniel,14,1,5,14600.00
14001152,1152,Peláez,Alberto,14,1,5,13500.00
2001079,1079,Perez,Elena,2,1,5,13500.00
2001676,1676,Carmona,Sebastian,2,1,5,15000.00
2001290,1290,Cifuentes,Oscar,2,1,5,13500.00
2001961,1961,Jaramillo,Santiago,2,1,5,13500.00
2001675,1675,Melano,Luis,2,1,5,13500.00
2001368,1368,Mendez,José,2,1,5,12800.00
2001153,1153,Ramirez,Tomas,2,1,4,13500.00
