ID_empleado;Apellido;Nombre;Sucursal;Sector;Cargo;Salario
1968;Burgos;Jeronimo;Caseros;Administración;Administrativo;32000,00
1674;Villegas;Estefania;Caseros;Administración;Vendedor;32000,00
1516;Fernandez;Guillermo;Caseros;Administración;Vendedor;45000,00
1330;Ramirez;Eliana;Caseros;Administración;Vendedor;32000,00
1657;Carmona;Jose;Caseros;Administración;Vendedor;32000,00
1573;De santis;Marcela;Caseros;Administración;Aux. Administrativo;15000,00
1658;Franco;Daniela;Caseros;Administración;Vendedor;32000,00
1078;Cortes;Rafael;Caseros;Diseño;Administrativo;42000,00
1695;Berrio;Camilo;Cabildo;Diseño;Vendedor;32000,00
1285;Arias;Francisco;Cabildo;Diseño;Vendedor;32000,00
1284;Merizalde;Antonio;Cabildo;Diseño;Vendedor;32000,00
1517;Restrepo;Karen;Cabildo;Diseño;Aux. Administrativo;15000,00
1674;Lemus;David;Cabildo;Diseño;Vendedor;32000,00
1056;Santana;Javier;Cabildo;Comunicación;Administrativo;56000,00
1977;Saldarriaga;Virginia;Cabildo;Comunicación;Vendedor;42000,00
1725;Posada;Sergio;Cabildo;Comunicación;Vendedor;56000,00
1675;Zea ;Jorge;Cabildo;Comunicación;Vendedor;65000,00
1968;Diaz ;Mariana;Cabildo;Comunicación;Vendedor;32000,00
1723;Giraldo;Esteban;Cabildo;Ventas;Aux. Administrativo;13500,00
1076;Idarraga;Jorge;Moron;Ventas;Aux. Administrativo;12000,00
1816;Simanca;Alejandro;Moron;Ventas;Aux. Administrativo;16000,00
1154;Pulgarin;Angelica;Moron;Ventas;Administrativo;41000,00
1294;Aguirre;Brenda;Moron;Ventas;Vendedor;32000,00
1428;Tamayo;Gloria;Moron;Ventas;Vendedor;32000,00
1814;Carmona ;Andrea;Moron;Ventas;Vendedor;32000,00
1978;Diaz ;Lucero;Moron;Ventas;Vendedor;32000,00
1531;Alzate;Angela;Moron;Ventas;Técnico;28000,00
1931;Arango;Felipe;Moron;Administración;Administrativo;25600,00
1932;Garces;Elena;Moron;Administración;Administrativo;24000,00
1291;Uribe;Carmen;Moron;Administración;Aux. Administrativo;13500,00
1530;Ospina;Daniel;Moron;Administración;Vendedor;14600,00
1152;Peláez;Alberto;Moron;Administración;Vendedor;13500,00
1079;Perez;Elena;Palermo 1;Administración;Vendedor;13500,00
1676;Carmona;Sebastian;Palermo 1;Administración;Vendedor;15000,00
1290;Cifuentes;Oscar;Palermo 1;Administración;Vendedor;13500,00
1961;Jaramillo;Santiago;Palermo 1;Administración;Vendedor;13500,00
1675;Melano;Luis;Palermo 1;Administración;Vendedor;13500,00
1368;Mendez;José;Palermo 1;Administración;Vendedor;12800,00
1153;Ramirez;Tomas;Palermo 1;Administración;Técnico;13500,00
1960;Girando;Felipe;Palermo 1;Administración;Aux. Administrativo;13500,00
1908;Diez;Patricia;Palermo 1;Administración;Administrativo;56000,00
1011;Sierra;Luisa;Castelar;Administración;Vendedor;27000,00
1359;Vallejo;Sara;Castelar;Diseño;Vendedor;23000,00
1724;Guerrero;Alexandra;Castelar;Diseño;Vendedor;23000,00
1923;Guerra;Lisa;Castelar;Diseño;Vendedor;23000,00
